# Total Phase Data Center(tm) v6.52
# (c) 2005-2012 Total Phase, Inc.
# www.totalphase.com
#
# Thu May 09 09:45:00 2013
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Data,Summary,ASCII
0,,0,0:00.000.000,,,,,,Capture started (Aggregate),,[Wed May  8 15:08:50 2013],
0,,1,0:00.000.002,,,,,,<Unreset> / <Target connected>,,,
0,,2,0:00.000.404,1.999.281.395 s,,,,,[2000 SOF],,[Frames: 1242 - 1193] [Periodic Timeout],
0,,3,0:00.000.407,1.999.283.229 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,4,0:02.000.682,1.999.281.395 s,,,,,[2000 SOF],,[Frames: 1194 - 1145] [Periodic Timeout],
0,,5,0:02.000.686,1.999.283.229 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,6,0:04.000.961,1.999.281.437 s,,,,,[2000 SOF],,[Frames: 1146 - 1097] [Periodic Timeout],
0,,7,0:04.000.965,1.999.283.250 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,8,0:06.001.240,1.999.281.437 s,,,,,[2000 SOF],,[Frames: 1098 - 1049] [Periodic Timeout],
0,,9,0:06.001.243,1.999.283.270 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,10,0:08.001.519,1.999.281.395 s,,,,,[2000 SOF],,[Frames: 1050 - 1001] [Periodic Timeout],
0,,11,0:08.001.522,1.999.283.229 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,12,0:10.001.797,1.999.281.395 s,,,,,[2000 SOF],,[Frames: 1002 - 953] [Periodic Timeout],
0,,13,0:10.001.801,1.999.283.229 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,14,0:12.002.076,1.999.281.395 s,,,,,[2000 SOF],,[Frames: 954 - 905] [Periodic Timeout],
0,,15,0:12.002.079,1.999.283.208 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,16,0:14.002.355,1.999.281.395 s,,,,,[2000 SOF],,[Frames: 906 - 857] [Periodic Timeout],
0,,17,0:14.002.358,1.999.283.187 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,18,0:16.002.633,1.999.281.375 s,,,,,[2000 SOF],,[Frames: 858 - 809] [Periodic Timeout],
0,,19,0:16.002.637,1.999.283.187 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,20,0:18.002.912,1.999.281.354 s,,,,,[2000 SOF],,[Frames: 810 - 761] [Periodic Timeout],
0,,21,0:18.002.916,1.999.283.166 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,22,0:20.003.191,1.999.281.354 s,,,,,[2000 SOF],,[Frames: 762 - 713] [Periodic Timeout],
0,,23,0:20.003.194,1.999.283.187 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,24,0:22.003.469,1.999.281.416 s,,,,,[2000 SOF],,[Frames: 714 - 665] [Periodic Timeout],
0,,25,0:22.003.473,1.999.283.250 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,26,0:24.003.748,341.050.333 ms,,,,,[342 SOF],,[Frames: 666 - 1007] ,
0,,27,0:24.344.799,50.770 us,64 B,,05,01,OUT txn,00 00 00 01 58 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,....X............................................…
1,,28,0:24.344.799,2.833 us,3 B,,05,01,   OUT packet,E1 85 60,,..`
1,,29,0:24.344.803,45.500 us,67 B,,05,01,   DATA1 packet,4B 00 00 00 01 58 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 08 B0,,K....X...........................................…
1,,30,0:24.344.848,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,31,0:24.345.796,2.003.166 ms,,,,,[3 SOF],,[Frames: 1008 - 1010] ,
0,,32,0:24.003.752,344.098.750 ms,64 B,,05,01,IN txn   [344 POLL],41 42 43 3C 04 02 31 48 7C 5C 5E 26 7C 7C 42 45 56 51 56 4D 7C 42 61 79 65 72 36 32 30 30 5E 30 31 2E 32 32 5C 30 31 2E 31 33 5C 30 31 2E 31 33 5E 36 32 30 31 2D 20 43 33 36 38 34 37 5E 30 30,,ABC<..1H|\^&||BEVQVM|Bayer6200^01.22\01.13\01.13^…
1,,33,0:24.003.752,343.052.541 ms,,,05,01,   [344 IN-NAK],,,
1,,34,0:24.347.800,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,35,0:24.347.803,45.416 us,67 B,,05,01,   DATA1 packet,4B 41 42 43 3C 04 02 31 48 7C 5C 5E 26 7C 7C 42 45 56 51 56 4D 7C 42 61 79 65 72 36 32 30 30 5E 30 31 2E 32 32 5C 30 31 2E 31 33 5C 30 31 2E 31 33 5E 36 32 30 31 2D 20 43 33 36 38 34 37 5E 30 30 F0 84,,KABC<..1H|\^&||BEVQVM|Bayer6200^01.22\01.13\01.13…
1,,36,0:24.347.849,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,37,0:24.348.796,11.004.416 ms,,,,,[12 SOF],,[Frames: 1011 - 1022] ,
0,,38,0:24.348.800,11.052.250 ms,64 B,,05,01,IN txn   [11 POLL],41 42 43 3C 30 30 2D 5E 43 33 36 38 34 37 7C 41 3D 31 5E 43 3D 34 31 5E 47 3D 65 6E 2C 65 6E 5C 65 73 5E 49 3D 30 32 30 30 5E 52 3D 30 5E 53 3D 30 5E 55 3D 30 5E 58 3D 30 37 30 30 37 30 30 37,,ABC<00-^C36847|A=1^C=41^G=en,en\es^I=0200^R=0^S=0…
1,,39,0:24.348.800,10.006.020 ms,,,05,01,   [11 IN-NAK],,,
1,,40,0:24.359.801,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,41,0:24.359.804,45.416 us,67 B,,05,01,   DATA0 packet,C3 41 42 43 3C 30 30 2D 5E 43 33 36 38 34 37 7C 41 3D 31 5E 43 3D 34 31 5E 47 3D 65 6E 2C 65 6E 5C 65 73 5E 49 3D 30 32 30 30 5E 52 3D 30 5E 53 3D 30 5E 55 3D 30 5E 58 3D 30 37 30 30 37 30 30 37 FA A2,,.ABC<00-^C36847|A=1^C=41^G=en,en\es^I=0200^R=0^S=…
1,,42,0:24.359.851,1.479 us,1 B,,05,01,   ACK packet,D2,,.
0,,43,0:24.360.798,19.005.479 ms,,,,,[20 SOF],,[Frames: 1023 - 1042] ,
0,,44,0:24.360.801,19.053.312 ms,64 B,,05,01,IN txn   [19 POLL],41 42 43 3C 30 30 37 30 31 38 30 31 33 30 31 38 30 32 35 30 5E 59 3D 33 36 30 31 32 36 30 39 39 30 35 34 31 32 30 30 35 34 32 35 32 30 39 39 5E 5A 3D 31 7C 30 7C 7C 7C 7C 7C 7C 31 7C 32 30 31,,ABC<0070180130180250^Y=360126099054120054252099^Z…
1,,45,0:24.360.801,18.007.041 ms,,,05,01,   [19 IN-NAK],,,
1,,46,0:24.379.804,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,47,0:24.379.807,45.416 us,67 B,,05,01,   DATA1 packet,4B 41 42 43 3C 30 30 37 30 31 38 30 31 33 30 31 38 30 32 35 30 5E 59 3D 33 36 30 31 32 36 30 39 39 30 35 34 31 32 30 30 35 34 32 35 32 30 39 39 5E 5A 3D 31 7C 30 7C 7C 7C 7C 7C 7C 31 7C 32 30 31 68 3E,,KABC<0070180130180250^Y=360126099054120054252099^…
1,,48,0:24.379.853,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,49,0:24.380.801,19.005.479 ms,,,,,[20 SOF],,[Frames: 1043 - 1062] ,
0,,50,0:24.380.804,19.053.395 ms,64 B,,05,01,IN txn   [19 POLL],41 42 43 0F 33 30 35 30 38 31 35 30 39 0D 17 33 37 0D 0A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC.305081509..37................................…
1,,51,0:24.380.804,18.007.270 ms,,,05,01,   [19 IN-NAK],,,
1,,52,0:24.399.807,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,53,0:24.399.810,45.437 us,67 B,,05,01,   DATA0 packet,C3 41 42 43 0F 33 30 35 30 38 31 35 30 39 0D 17 33 37 0D 0A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 1A FB,,.ABC.305081509..37...............................…
1,,54,0:24.399.856,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,55,0:24.400.804,2.833 us,,,,,[1 SOF],,[Frame: 1063] ,
0,,56,0:24.400.807,50.750 us,64 B,,05,01,IN txn,41 42 43 01 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC..............................................…
1,,57,0:24.400.807,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,58,0:24.400.810,45.416 us,67 B,,05,01,   DATA1 packet,4B 41 42 43 01 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 6A 0F,,KABC.............................................…
1,,59,0:24.400.856,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,60,0:24.401.804,715.102.500 ms,,,,,[716 SOF],,[Frames: 1064 - 1779] ,
