# Total Phase Data Center(tm) v6.52
# (c) 2005-2012 Total Phase, Inc.
# www.totalphase.com
#
# Thu May 09 09:42:05 2013
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Data,Summary,ASCII
0,,0,0:00.000.000,,,,,,Capture started (Aggregate),,[Wed May  8 15:32:03 2013],
0,,1,0:00.000.002,,,,,,<Unreset> / <Target connected>,,,
0,,2,0:00.000.835,1.999.281.770 s,,,,,[2000 SOF],,[Frames: 1703 - 1654] [Periodic Timeout],
0,,3,0:00.000.839,1.999.283.583 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,4,0:02.001.114,1.999.281.770 s,,,,,[2000 SOF],,[Frames: 1655 - 1606] [Periodic Timeout],
0,,5,0:02.001.118,1.999.283.583 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,6,0:04.001.394,1.999.281.812 s,,,,,[2000 SOF],,[Frames: 1607 - 1558] [Periodic Timeout],
0,,7,0:04.001.397,1.999.283.625 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,8,0:06.001.673,1.999.281.833 s,,,,,[2000 SOF],,[Frames: 1559 - 1510] [Periodic Timeout],
0,,9,0:06.001.676,1.999.283.583 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,10,0:08.001.952,401.058.833 ms,,,,,[402 SOF],,[Frames: 1511 - 1912] ,
0,,11,0:08.403.011,50.770 us,64 B,,05,01,OUT txn,00 00 00 01 58 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,....X............................................…
1,,12,0:08.403.011,2.833 us,3 B,,05,01,   OUT packet,E1 85 60,,..`
1,,13,0:08.403.015,45.500 us,67 B,,05,01,   DATA1 packet,4B 00 00 00 01 58 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 08 B0,,K....X...........................................…
1,,14,0:08.403.060,1.479 us,1 B,,05,01,   ACK packet,D2,,.
0,,15,0:08.404.008,2.003.104 ms,,,,,[3 SOF],,[Frames: 1913 - 1915] ,
0,,16,0:08.001.955,404.107.145 ms,64 B,,05,01,IN txn   [404 POLL],41 42 43 3C 04 02 31 48 7C 5C 5E 26 7C 7C 37 4F 69 55 54 59 7C 42 61 79 65 72 36 32 30 30 5E 30 31 2E 32 32 5C 30 31 2E 31 33 5C 58 58 2E 58 58 5E 36 32 30 31 2D 20 43 33 36 38 34 37 5E 30 30,,ABC<..1H|\^&||7OiUTY|Bayer6200^01.22\01.13\XX.XX^…
1,,17,0:08.001.955,403.060.937 ms,,,05,01,   [404 IN-NAK],,,
1,,18,0:08.406.012,2.812 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,19,0:08.406.015,45.437 us,67 B,,05,01,   DATA0 packet,C3 41 42 43 3C 04 02 31 48 7C 5C 5E 26 7C 7C 37 4F 69 55 54 59 7C 42 61 79 65 72 36 32 30 30 5E 30 31 2E 32 32 5C 30 31 2E 31 33 5C 58 58 2E 58 58 5E 36 32 30 31 2D 20 43 33 36 38 34 37 5E 30 30 67 06,,.ABC<..1H|\^&||7OiUTY|Bayer6200^01.22\01.13\XX.XX…
1,,20,0:08.406.061,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,21,0:08.407.008,10.004.312 ms,,,,,[11 SOF],,[Frames: 1916 - 1926] ,
0,,22,0:08.407.012,10.052.229 ms,64 B,,05,01,IN txn   [10 POLL],41 42 43 3C 30 30 2D 5E 43 33 36 38 34 37 7C 41 3D 31 5E 43 3D 34 31 5E 47 3D 65 6E 2C 65 6E 5C 65 73 5E 49 3D 30 32 30 30 5E 52 3D 30 5E 53 3D 30 5E 55 3D 30 5E 58 3D 30 37 30 30 37 30 30 37,,ABC<00-^C36847|A=1^C=41^G=en,en\es^I=0200^R=0^S=0…
1,,23,0:08.407.012,9.005.979 ms,,,05,01,   [10 IN-NAK],,,
1,,24,0:08.417.013,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,25,0:08.417.016,45.437 us,67 B,,05,01,   DATA1 packet,4B 41 42 43 3C 30 30 2D 5E 43 33 36 38 34 37 7C 41 3D 31 5E 43 3D 34 31 5E 47 3D 65 6E 2C 65 6E 5C 65 73 5E 49 3D 30 32 30 30 5E 52 3D 30 5E 53 3D 30 5E 55 3D 30 5E 58 3D 30 37 30 30 37 30 30 37 FA A2,,KABC<00-^C36847|A=1^C=41^G=en,en\es^I=0200^R=0^S=…
1,,26,0:08.417.062,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,27,0:08.418.010,19.005.479 ms,,,,,[20 SOF],,[Frames: 1927 - 1946] ,
0,,28,0:08.418.013,19.053.416 ms,64 B,,05,01,IN txn   [19 POLL],41 42 43 3C 30 30 37 30 31 38 30 31 33 30 31 38 30 32 35 30 5E 59 3D 33 36 30 31 32 36 30 39 39 30 35 34 31 32 30 30 35 34 32 35 32 30 39 39 5E 5A 3D 31 7C 30 7C 7C 7C 7C 7C 7C 31 7C 32 30 31,,ABC<0070180130180250^Y=360126099054120054252099^Z…
1,,29,0:08.418.013,18.007.145 ms,,,05,01,   [19 IN-NAK],,,
1,,30,0:08.437.016,2.812 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,31,0:08.437.019,45.437 us,67 B,,05,01,   DATA0 packet,C3 41 42 43 3C 30 30 37 30 31 38 30 31 33 30 31 38 30 32 35 30 5E 59 3D 33 36 30 31 32 36 30 39 39 30 35 34 31 32 30 30 35 34 32 35 32 30 39 39 5E 5A 3D 31 7C 30 7C 7C 7C 7C 7C 7C 31 7C 32 30 31 68 3E,,.ABC<0070180130180250^Y=360126099054120054252099^…
1,,32,0:08.437.065,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,33,0:08.438.013,19.005.500 ms,,,,,[20 SOF],,[Frames: 1947 - 1966] ,
0,,34,0:08.438.016,19.053.437 ms,64 B,,05,01,IN txn   [19 POLL],41 42 43 0F 33 30 35 30 38 31 35 33 32 0D 17 45 45 0D 0A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC.305081532..EE................................…
1,,35,0:08.438.016,18.007.187 ms,,,05,01,   [19 IN-NAK],,,
1,,36,0:08.457.019,2.812 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,37,0:08.457.022,45.437 us,67 B,,05,01,   DATA1 packet,4B 41 42 43 0F 33 30 35 30 38 31 35 33 32 0D 17 45 45 0D 0A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0E 5B,,KABC.305081532..EE...............................…
1,,38,0:08.457.068,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,39,0:08.458.015,2.916 us,,,,,[1 SOF],,[Frame: 1967] ,
0,,40,0:08.458.019,50.750 us,64 B,,05,01,IN txn,41 42 43 01 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC..............................................…
1,,41,0:08.458.019,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
