# Total Phase Data Center(tm) v6.52
# (c) 2005-2012 Total Phase, Inc.
# www.totalphase.com
#
# Thu May 09 09:46:47 2013
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Data,Summary,ASCII
0,,0,0:00.000.000,,,,,,Capture started (Aggregate),,[Wed May  8 15:24:13 2013],
0,,1,0:00.000.002,,,,,,<Unreset> / <Target connected>,,,
0,,2,0:00.000.918,1.999.281.354 s,,,,,[2000 SOF],,[Frames: 403 - 354] [Periodic Timeout],
0,,3,0:00.000.922,1.999.283.187 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,4,0:02.001.197,1.999.281.354 s,,,,,[2000 SOF],,[Frames: 355 - 306] [Periodic Timeout],
0,,5,0:02.001.200,1.999.283.166 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,6,0:04.001.475,1.999.281.333 s,,,,,[2000 SOF],,[Frames: 307 - 258] [Periodic Timeout],
0,,7,0:04.001.479,1.999.283.145 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,8,0:06.001.754,1.999.281.354 s,,,,,[2000 SOF],,[Frames: 259 - 210] [Periodic Timeout],
0,,9,0:06.001.757,1.999.283.166 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,10,0:08.002.033,254.038.229 ms,,,,,[255 SOF],,[Frames: 211 - 465] ,
0,,11,0:08.256.072,50.708 us,64 B,,05,01,OUT txn,00 00 00 01 58 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,....X............................................…
1,,12,0:08.256.072,2.833 us,3 B,,05,01,   OUT packet,E1 85 60,,..`
1,,13,0:08.256.075,45.500 us,67 B,,05,01,   DATA0 packet,C3 00 00 00 01 58 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 08 B0,,.....X...........................................…
1,,14,0:08.256.121,1.479 us,1 B,,05,01,   ACK packet,D2,,.
0,,15,0:08.257.068,2.003.104 ms,,,,,[3 SOF],,[Frames: 466 - 468] ,
0,,16,0:08.002.036,257.086.583 ms,64 B,,05,01,IN txn   [257 POLL],41 42 43 3C 04 02 31 48 7C 5C 5E 26 7C 7C 42 4A 42 33 55 62 7C 42 61 79 65 72 36 32 30 30 5E 30 31 2E 32 32 5C 30 31 2E 31 33 5C 58 58 2E 58 58 5E 36 32 30 31 2D 20 43 33 36 38 34 37 5E 30 30,,ABC<..1H|\^&||BJB3Ub|Bayer6200^01.22\01.13\XX.XX^…
1,,17,0:08.002.036,256.040.333 ms,,,05,01,   [257 IN-NAK],,,
1,,18,0:08.259.072,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,19,0:08.259.075,45.437 us,67 B,,05,01,   DATA0 packet,C3 41 42 43 3C 04 02 31 48 7C 5C 5E 26 7C 7C 42 4A 42 33 55 62 7C 42 61 79 65 72 36 32 30 30 5E 30 31 2E 32 32 5C 30 31 2E 31 33 5C 58 58 2E 58 58 5E 36 32 30 31 2D 20 43 33 36 38 34 37 5E 30 30 94 A1,,.ABC<..1H|\^&||BJB3Ub|Bayer6200^01.22\01.13\XX.XX…
1,,20,0:08.259.121,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,21,0:08.260.069,19.005.500 ms,,,,,[20 SOF],,[Frames: 469 - 488] ,
0,,22,0:08.260.072,19.053.416 ms,64 B,,05,01,IN txn   [19 POLL],41 42 43 3C 30 30 2D 5E 43 33 36 38 34 37 7C 41 3D 31 5E 43 3D 34 31 5E 47 3D 65 6E 2C 65 6E 5C 65 73 5E 49 3D 30 32 30 30 5E 52 3D 30 5E 53 3D 30 5E 55 3D 30 5E 58 3D 30 37 30 30 37 30 30 37,,ABC<00-^C36847|A=1^C=41^G=en,en\es^I=0200^R=0^S=0…
1,,23,0:08.260.072,18.007.166 ms,,,05,01,   [19 IN-NAK],,,
1,,24,0:08.279.075,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,25,0:08.279.078,45.437 us,67 B,,05,01,   DATA1 packet,4B 41 42 43 3C 30 30 2D 5E 43 33 36 38 34 37 7C 41 3D 31 5E 43 3D 34 31 5E 47 3D 65 6E 2C 65 6E 5C 65 73 5E 49 3D 30 32 30 30 5E 52 3D 30 5E 53 3D 30 5E 55 3D 30 5E 58 3D 30 37 30 30 37 30 30 37 FA A2,,KABC<00-^C36847|A=1^C=41^G=en,en\es^I=0200^R=0^S=…
1,,26,0:08.279.124,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,27,0:08.280.071,19.005.604 ms,,,,,[20 SOF],,[Frames: 489 - 508] ,
0,,28,0:08.280.075,19.053.520 ms,64 B,,05,01,IN txn   [19 POLL],41 42 43 3C 30 30 37 30 31 38 30 31 33 30 31 38 30 32 35 30 5E 59 3D 33 36 30 31 32 36 30 39 39 30 35 34 31 32 30 30 35 34 32 35 32 30 39 39 5E 5A 3D 31 7C 30 7C 7C 7C 7C 7C 7C 31 7C 32 30 31,,ABC<0070180130180250^Y=360126099054120054252099^Z…
1,,29,0:08.280.075,18.007.270 ms,,,05,01,   [19 IN-NAK],,,
1,,30,0:08.299.078,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,31,0:08.299.081,45.437 us,67 B,,05,01,   DATA0 packet,C3 41 42 43 3C 30 30 37 30 31 38 30 31 33 30 31 38 30 32 35 30 5E 59 3D 33 36 30 31 32 36 30 39 39 30 35 34 31 32 30 30 35 34 32 35 32 30 39 39 5E 5A 3D 31 7C 30 7C 7C 7C 7C 7C 7C 31 7C 32 30 31 68 3E,,.ABC<0070180130180250^Y=360126099054120054252099^…
1,,32,0:08.299.127,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,33,0:08.300.074,19.005.479 ms,,,,,[20 SOF],,[Frames: 509 - 528] ,
0,,34,0:08.300.078,19.053.395 ms,64 B,,05,01,IN txn   [19 POLL],41 42 43 0F 33 30 35 30 38 31 35 32 34 0D 17 42 36 0D 0A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC.305081524..B6................................…
1,,35,0:08.300.078,18.007.104 ms,,,05,01,   [19 IN-NAK],,,
1,,36,0:08.319.080,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
